,aws_score
0,0.99701642
1,3.08006347
2,0.85663878
3,0.87680643
4,0.96366983
5,0.69216424
6,0.38382250
7,0.99174386
8,0.92807680
9,0.53123027
10,0.73828804
11,0.41433772
12,0.68617457
13,0.67290669
14,0.64163047
15,0.67404747
16,0.53355109
17,0.69279968
18,0.70742589
19,0.96080780
20,0.51203107
21,0.70983517
22,0.91834795
23,0.99463897
24,0.74382197
25,0.88419681
26,0.94593679
27,0.90117478
28,0.89724183
29,0.94468659
30,0.58564746
31,0.57458889
32,0.82829391
33,0.63196420
34,0.69259011
35,0.90156483
36,0.97309285
37,0.50824314
38,0.91131788
39,0.82270461
40,0.97089427
41,0.61544650
42,0.95825695
43,0.49491924
44,0.77677369
45,0.69690775
46,0.95191776
47,0.81108307
48,0.73989433
49,0.70135200
50,0.85504561
51,0.84022665
52,0.92543208
53,0.56409060
54,0.72504031
55,0.76737022
56,0.88965529
57,0.68587547
58,0.70066130
59,0.93350410
60,0.78184753
61,0.76100009
62,0.61635375
63,0.75235533
64,0.37634095
65,0.82521748
66,0.62884336
67,0.80298537
68,0.30270794
69,0.80442214
70,0.89622032
71,0.93617379
72,0.96646881
73,0.73085206
74,0.52651053
75,0.84832447
76,0.64274376
77,0.45475775
78,0.98948508
79,0.78359538
80,0.74435132
81,0.97291189
82,0.97749954
83,0.95459830
84,0.98250007
85,0.83652311
86,0.73870533
87,0.70863914
88,0.94101554
89,0.52911591
90,0.73611837
91,0.83381259
92,0.90663152
93,0.95968198
94,0.50561344
95,0.65866261
96,0.98035722
97,0.97282117
98,0.99841845
99,0.49571615
100,0.97673231
101,0.68670326
102,0.99620372
103,0.99347257
104,0.98984563
105,0.89442557
106,0.83695650
107,0.59186941
108,0.94053149
109,0.92422813
110,0.54650461
111,0.73124128
112,0.53963136
113,0.61921942
114,0.37937188
115,0.61326849
116,0.98032641
117,0.71243005
118,0.32059136
119,0.59818381
120,0.82000422
121,0.91682541
122,0.90126055
123,0.50538522
124,0.41535589
125,0.34026846
126,0.90618139
127,0.74180734
128,0.49567604
129,0.97571045
130,0.76061773
131,0.89571207
132,0.76424092
133,0.47172731
134,0.89493513
135,0.62580907
136,0.44338887
137,0.61191391
138,0.60081940
139,0.49357435
140,0.74831402
141,0.38001227
142,0.89962613
143,0.93888920
144,0.94127708
145,0.97747576
146,0.71436208
147,0.95263612
148,0.67155307
149,0.92131447
150,0.68395376
151,0.72221434
152,0.64155358
153,0.54936224
154,0.84341973
155,0.91967785
156,0.84511309
157,0.65842133
158,0.44151759
159,0.94348102
160,0.88465225
161,0.66484421
162,0.62742787
163,0.52256554
164,0.98077672
165,0.63031256
166,0.38445791
167,0.39602100
168,0.66966462
169,0.97941815
170,0.94905394
171,0.54150754
172,0.88252300
173,0.84327280
174,0.53730815
175,0.97984158
176,0.98221254
177,7.50277758
178,0.91610932
179,0.97237873
180,0.56004130
181,0.87745571
182,0.47840610
183,0.57814896
184,0.69109058
185,0.54765826
186,0.61427938
187,0.83156228
188,0.47131782
189,0.71739208
190,0.52275979
191,0.87346851
192,0.96740567
193,0.42893981
194,0.40132910
195,0.86848461
196,0.55623328
197,0.43829390
198,0.48264703
199,0.53326559
200,0.74686604
201,0.65156596
202,0.53003823
203,0.84593665
204,0.58578014
205,0.65959638
206,0.70460981
207,0.64315521
208,0.96505451
209,0.62957984
210,0.70209497
211,0.50290942
212,0.79773312
213,0.96213549
214,0.60874897
215,0.62674081
216,0.98681914
217,0.75837254
218,0.96553158
219,0.66226929
220,0.71146488
221,0.85733693
222,0.61676394
223,0.79615277
224,0.89331829
225,0.60050570
226,0.63193643
227,0.97586321
228,0.62738108
229,0.44468566
230,0.71173930
231,0.89478921
232,0.65750765
233,0.81667387
234,0.94546288
235,0.62287575
236,0.60114568
237,0.90481150
238,0.51585686
239,0.98508346
240,0.66962224
241,0.97197312
242,0.98521310
243,0.99202805
244,0.95608633
245,0.99758589
246,0.98505717
247,0.97608643
248,0.96567165
249,0.99056315
250,6.21365688
251,0.88416266
252,0.98100417
253,0.41729021
254,0.78073817
255,0.88603669
256,0.67017805
257,0.76965856
258,0.90763127
259,0.97959238
260,0.96386295
261,0.54835659
262,0.72061115
263,0.92756348
264,0.94811415
265,0.47694668
266,0.67183476
267,0.67347455
268,0.61625742
269,0.55203902
270,0.49551030
271,0.96587699
272,0.65677261
273,0.66345345
274,0.76804488
275,0.82410389
276,0.42407044
277,0.45106711
278,0.89815473
279,0.98201274
280,0.48777380
281,0.68302738
282,0.83909457
283,0.94004678
284,0.66172784
285,0.51426887
286,0.96988230
287,0.83399188
288,0.49571275
289,0.68438577
290,0.75376927
291,0.63128864
292,0.93921601
293,0.95716136
294,0.69653892
295,0.39564016
296,0.52125996
297,0.69906175
298,0.54998421
299,0.86429893
300,0.58864152
301,0.92251062
302,0.47328737
303,0.69189155
304,0.57305335
305,0.67124140
306,0.56533616
307,0.61024892
308,0.61561590
309,0.97548258
310,0.59825593
311,0.63684350
312,0.45410704
313,0.74624723
314,0.86439085
315,0.54074633
316,0.78044015
317,0.98819410
318,0.64190298
319,0.41494670
320,0.84485018
321,0.92058730
322,0.61554145
323,0.81245702
324,0.98172837
325,0.55693721
326,0.53067100
327,0.51477563
328,0.45417407
329,0.51661664
330,9.52166737
331,0.51904964
332,1.80149563
333,6.54706809
334,0.77415657
335,0.88689810
336,0.99602293
337,0.95895344
338,0.98567157
339,0.97337478
340,0.51044923
341,8.24534654
342,8.76872800
343,7.54915090
344,8.79849685
345,0.93469268
346,1.78774607
347,7.12742403
348,0.94998264
349,6.44161855
350,0.98012346
351,1.89831043
352,0.83737963
353,5.18433671
354,3.94521266
355,0.97578215
356,8.58080602
357,6.11412872
358,0.86596161
359,5.05480602
360,6.32910232
361,3.89186461
362,8.21620997
363,0.52499103
364,0.86279886
365,5.66707922
366,0.90650147
367,0.91703784
368,0.58362030
369,0.99136191
370,0.47030523
371,7.12742767
372,0.97353380
373,0.97402393
374,0.99098092
375,0.98908305
376,4.75521082
377,0.99467766
378,0.98433130
379,0.96383923
380,0.63461321
381,0.97496902
382,0.98541796
383,0.99157458
384,0.97946530
385,0.95724993
386,0.95814180
387,0.96214342
388,0.75747394
389,0.98435151
390,0.99380058
391,0.99780231
392,4.89071098
393,3.77679280
394,0.95531082
395,5.42577363
396,0.92983812
397,0.97694450
398,0.90652179
399,0.99604505
400,0.98228067
401,0.96858078
402,0.89453077
403,0.63992160
404,0.66160142
405,0.96833729
406,0.66885042
407,0.50845378
408,0.85667955
409,0.73532205
410,0.93261563
411,0.53132081
412,0.79007935
413,0.48034381
414,0.63594937
415,0.85659652
416,0.40817174
417,0.99487346
418,0.96477657
419,0.63144433
420,0.54697364
421,0.73575651
422,0.98136693
423,0.41458287
424,0.91351497
425,0.90023744
426,0.55317801
427,0.89239174
428,0.51393783
429,0.78869891
430,0.58525478
431,0.89031535
432,0.82045537
433,0.72120350
434,0.96966153
435,0.72946816
436,0.56712436
437,0.87286853
438,0.94453912
439,0.85560202
440,0.67911028
441,0.78425645
442,0.81330639
443,0.99628061
444,7.79239271
445,0.65689820
446,0.67137563
447,0.75508725
448,0.96542072
449,0.84291994
450,0.72148251
451,0.78297537
452,5.82290958
453,6.10327924
454,0.99417829
455,0.77047371
456,0.96371775
457,0.75216114
458,0.80553132
459,0.71252155
460,0.89773875
461,0.66553652
