,azure_score,Normalized azure score
0,0.5 ,0
1,0.5 ,0
2,0.5 ,0
3,0.5 ,0
4,0.89,1
5,0.87,1
6,0.77,1
7,0.5 ,0
8,0.85,1
9, 0.9,1
10, 0.5,0
11, 0.5,0
12, 0.5,0
13, 0.5,0
14, 0.5,0
15, 0.2,-1
16, 0.5,0
17, 0.9,1
18, 0.9,1
19, 0.9,1
20, 0.8,1
21, 0.8,1
22, 0.5,0
23, 0.5,0
24, 0.5,0
25, 0.9,1
26, 0.5,0
27, 0.8,1
28, 0.9,1
29, 0.5,0
30, 0.2,-1
31, 0.0,-1
32, 0.9,1
33, 0.7,1
34, 0.8,1
35, 0.9,1
36, 0.9,1
37, 0.7,1
38, 0.8,1
39, 0.9,1
40, 0.9,1
41, 0.9,1
42, 0.8,1
43, 0.5,0
44, 0.2,-1
45, 0.5,0
46, 0.9,1
47, 0.5,0
48, 0.7,1
49, 0.5,0
50, 0.9,1
51, 0.5,0
52, 0.8,1
53, 0.8,1
54, 0.9,1
55, 0.7,1
56, 0.2,-1
57, 0.5,0
58, 0.9,1
59, 0.9,1
60, 0.9,1
61, 0.2,-1
62, 0.5,0
63, 0.5,0
64, 0.9,1
65, 0.1,-1
66, 0.8,1
67, 0.8,1
68, 0.7,1
69, 0.7,1
70, 0.8,1
71, 0.5,0
72, 0.9,1
73, 0.8,1
74, 0.9,1
75, 0.8,1
76, 0.5,0
77, 0.2,-1
78, 0.7,1
79, 0.9,1
80, 0.8,1
81, 0.9,1
82, 0.9,1
83, 0.9,1
84, 0.9,1
85, 0.8,1
86, 0.5,0
87, 0.9,1
88, 0.5,0
89, 0.5,0
90, 0.9,1
91, 0.8,1
92, 0.5,0
93, 0.9,1
94, 0.5,0
95, 0.9,1
96, 0.9,1
97, 0.9,1
