,watson_score
0,0.0
1,0.77
2,0.71
3,0.0
4,0.76
5,0.47
6,0.63
7,0.0
8,0.60
9,0.79
10,0.86
11,0.53
12,0.48
13,0.39
14,0.67
15,-0.7
16,0.48
17,0.99
18,0.58
19,0.90
20,0.65
21,0.78
22,0.60
23,0.59
24,0.41
25,0.98
26,0.52
27,-0.6
28,0.57
29,0.73
30,-0.3
31,-0.6
32,0.59
33,0.73
34,0.56
35,0.67
36,-0.3
37,0.63
38,0.80
39,-0.3
40,0.82
41,0.76
42,0.69
43,-0.3
44,-0.9
45,0.86
46,0.94
47,0.61
48,0.94
49,0.38
50,0.54
51,-0.4
52,0.68
53,-0.3
54,0.63
55,0.66
56,0.58
57,-0.3
58,0.62
59,0.75
60,0.70
61,-0.3
62,0.34
63,0.45
64,0.43
65,-0.4
66,0.33
67,0.57
68,0.81
69,0.79
70,0.89
71,0.22
72,0.36
73,0.92
74,0.92
75,0.85
76,0.49
77,0.80
78,0.59
79,0.85
80,0.57
81,0.59
82,0.75
83,0.90
84,0.83
85,-0.6
86,0.73
87,0.95
88,0.43
89,0.67
90,0.63
91,0.65
92,0.0
93,0.91
94,0.58
95,0.58
96,0.78
97,0.95
98,0.0
99,0.75
100,0.47
101,0.67
102,0.43
103,0.32
104,-0.4
105,-0.5
106,0.0
107,0.68
108,0.77
109,0.72
110,0.70
111,0.87
112,0.61
113,0.98
114,0.37
115,0.54
116,0.90
117,0.98
118,0.84
119,0.83
120,0.58
121,0.98
122,0.64
123,0.76
124,0.98
125,0.67
126,0.82
127,0.98
128,0.35
129,0.68
130,0.55
131,0.59
132,0.48
133,-0.3
134,0.81
135,0.98
136,0.86
137,0.65
138,-0.3
139,0.58
140,0.98
141,0.33
142,0.78
143,0.68
144,-0.5
145,0.38
146,0.98
147,0.87
148,0.99
149,0.96
150,0.41
151,0.98
152,0.40
153,0.81
154,0.38
155,0.49
156,0.37
157,0.98
158,0.69
159,0.94
160,0.95
161,0.71
162,0.33
163,0.66
164,0.93
165,0.98
166,0.69
167,0.88
168,0.98
169,0.97
170,0.87
171,0.79
172,0.90
173,0.51
174,-0.3
175,0.68
176,0.0
177,0.86
178,0.51
179,0.47
180,0.0
181,0.98
182,-0.3
183,0.62
184,0.51
185,0.62
186,0.60
187,0.61
188,-0.5
189,0.92
190,0.82
191,0.66
192,0.69
193,0.60
194,0.38
195,0.75
196,-0.5
197,-0.3
198,0.43
199,0.55
200,0.71
201,0.87
202,0.74
203,0.70
204,0.68
205,0.55
206,0.52
207,0.81
208,0.64
209,-0.3
210,0.71
211,0.32
212,0.60
213,-0.3
214,0.82
215,0.78
216,0.85
217,0.54
218,0.73
219,0.98
220,0.91
221,0.76
222,0.93
223,0.29
224,0.41
225,0.75
226,0.50
227,0.77
228,0.83
229,0.73
230,0.87
231,0.96
232,0.84
233,0.81
234,0.34
235,0.43
236,0.93
237,0.98
238,0.94
239,0.75
240,-0.3
241,-0.5
242,0.31
243,-0.3
244,-0.2
245,-0.3
246,0.59
247,0.49
248,-0.4
249,0.73
250,0.98
251,0.0
252,0.24
253,0.38
254,0.61
255,-0.2
256,-0.3
257,0.53
258,0.80
259,0.0
260,0.92
261,0.59
262,0.75
263,0.93
264,0.0
265,0.75
266,0.84
267,0.62
268,0.45
269,0.46
270,0.80
271,0.0
272,0.98
273,0.98
274,0.77
275,-0.5
276,0.30
277,0.60
278,0.86
279,-0.6
280,0.59
281,0.28
282,0.76
283,0.53
284,0.75
285,0.63
286,0.0
287,0.92
288,0.70
289,-0.5
290,0.81
291,0.43
292,0.40
293,0.0
294,0.73
295,0.71
296,0.86
297,0.0
298,0.85
299,0.70
300,0.43
301,0.72
302,0.58
303,0.84
304,0.87
305,0.48
306,0.56
307,0.79
308,0.46
309,0.0
310,0.63
311,0.78
312,-0.2
313,0.56
314,-0.6
315,0.53
316,0.73
317,0.0
318,0.73
319,0.61
320,0.82
321,0.53
322,0.59
323,0.80
324,0.0
325,0.73
326,0.83
327,0.87
328,0.95
329,0.73
330,0.91
331,0.97
332,0.94
333,0.47
334,0.68
335,0.44
336,0.48
337,-0.6
338,-0.5
339,0.95
340,0.97
341,0.70
342,0.45
343,0.89
344,0.71
345,0.74
346,0.83
347,0.88
348,0.84
349,0.97
350,0.73
351,0.90
352,0.81
353,0.88
354,0.83
355,0.99
356,0.53
357,0.89
358,0.64
359,0.93
360,0.93
361,-0.8
362,0.91
363,0.78
364,0.91
365,0.55
366,0.81
367,0.82
368,0.97
369,0.53
370,0.90
371,0.99
372,0.84
373,0.58
374,0.80
375,-0.4
376,0.73
377,0.76
378,0.98
379,-0.7
380,0.64
381,0.94
382,0.90
383,-0.6
384,0.67
385,-0.5
386,0.82
387,0.66
388,-0.4
389,0.66
390,0.83
391,0.83
392,0.95
393,0.54
394,0.60
395,0.99
396,0.67
397,0.81
398,0.92
399,0.77
400,-0.8
401,0.95
402,-0.4
403,0.48
404,0.47
405,0.77
406,0.41
407,0.38
408,0.77
409,0.75
410,0.62
411,0.77
412,0.38
413,0.31
414,0.68
415,0.58
416,0.57
417,0.80
418,0.97
419,0.87
420,0.84
421,0.72
422,0.91
423,0.54
424,0.98
425,0.82
426,0.79
427,0.86
428,0.53
429,0.90
430,0.78
431,0.79
432,0.48
433,0.97
434,0.86
435,0.81
436,0.92
437,0.68
438,0.65
439,0.54
440,0.96
441,0.89
442,0.97
443,0.87
444,0.36
445,0.77
446,0.86
447,0.93
448,0.95
449,0.77
450,0.78
451,0.85
452,0.93
453,0.83
454,0.0
455,0.72
456,0.99
457,0.91
458,0.77
459,0.84
460,0.87
461,0.61
462,0.73
463,0.56
464,0.96
465,0.78
466,0.38
467,0.86
468,0.62
469,0.87
470,0.87
471,0.57
472,0.84
473,0.80
474,0.42
475,0.82
476,0.79
477,0.97
478,0.78
479,0.98
480,0.51
481,0.81
482,0.92
483,0.91
484,0.76
485,0.90
486,-0.5
487,-0.8
488,0.71
489,0.75
490,-0.4
491,-0.4
492,0.22
493,0.79
494,-0.6
495,0.65
496,0.46
497,0.0
